# gzz component calculated with tessgzz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
-0.45 -0.9 20000 0.0120153 0.0073439 0.0064624 -0.00278219 -0.00234911 -0.00139113 -0.00499479
-0.4 -0.9 20000 0.0127634 0.00839802 0.00637205 -0.0030808 -0.00310661 -0.00136926 -0.00529141
-0.35 -0.9 20000 0.0134922 0.00948114 0.00613249 -0.00338334 -0.00390296 -0.00131574 -0.00557818
-0.3 -0.9 20000 0.0141833 0.0105586 0.00572592 -0.00368066 -0.00471042 -0.00122687 -0.00584813
-0.25 -0.9 20000 0.0148167 0.0115883 0.00514193 -0.00396192 -0.00549439 -0.00110051 -0.00609386
-0.2 -0.9 20000 0.0153716 0.0125233 0.00438043 -0.00421515 -0.0062154 -0.000936668 -0.00630786
-0.15 -0.9 20000 0.0158282 0.0133152 0.00345378 -0.00442819 -0.00683217 -0.000738001 -0.00648303
-0.1 -0.9 20000 0.0161686 0.0139189 0.00238774 -0.00458979 -0.00730581 -0.000509952 -0.00661312
-0.05 -0.9 20000 0.016379 0.0142974 0.0012205 -0.00469077 -0.00760419 -0.000260585 -0.00669326
8.881784197e-16 -0.9 20000 0.0164501 0.0144264 -2.19616e-17 -0.00472513 -0.00770612 4.67221e-18 -0.00672032
0.05 -0.9 20000 0.016379 0.0142974 -0.0012205 -0.00469077 -0.00760419 0.000260585 -0.00669326
0.1 -0.9 20000 0.0161686 0.0139189 -0.00238774 -0.00458979 -0.00730581 0.000509952 -0.00661312
0.15 -0.9 20000 0.0158282 0.0133152 -0.00345378 -0.00442819 -0.00683217 0.000738001 -0.00648303
0.2 -0.9 20000 0.0153716 0.0125233 -0.00438043 -0.00421515 -0.0062154 0.000936668 -0.00630786
0.25 -0.9 20000 0.0148167 0.0115883 -0.00514193 -0.00396192 -0.00549439 0.00110051 -0.00609386
0.3 -0.9 20000 0.0141833 0.0105586 -0.00572592 -0.00368066 -0.00471042 0.00122687 -0.00584813
0.35 -0.9 20000 0.0134922 0.00948114 -0.00613249 -0.00338334 -0.00390296 0.00131574 -0.00557818
0.4 -0.9 20000 0.0127634 0.00839802 -0.00637205 -0.0030808 -0.00310661 0.00136926 -0.00529141
0.45 -0.9 20000 0.0120153 0.0073439 -0.0064624 -0.00278219 -0.00234911 0.00139113 -0.00499479
0.5 -0.9 20000 0.0112639 0.00634522 -0.00642585 -0.00249472 -0.00165069 0.00138601 -0.00469453
0.55 -0.9 20000 0.0105225 0.00542018 -0.00628642 -0.00222359 -0.0010242 0.00135892 -0.00439598
0.6 -0.9 20000 0.00980162 0.00457957 -0.00606779 -0.00197215 -0.00047607 0.00131485 -0.0041035
0.65 -0.9 20000 0.00910928 0.00382803 -0.00579182 -0.00174223 -7.52517e-06 0.00125837 -0.0038205
0.7 -0.9 20000 0.00845098 0.00316542 -0.00547762 -0.00153439 0.000384093 0.00119352 -0.00354951
0.75 -0.9 20000 0.00783024 0.0025882 -0.00514118 -0.00134828 0.000704078 0.00112367 -0.00329227
0.8 -0.9 20000 0.00724889 0.00209055 -0.0047954 -0.00118288 0.0009593 0.00105156 -0.00304985
0.85 -0.9 20000 0.00670745 0.00166537 -0.00445021 -0.00103679 0.00115737 0.000979302 -0.00282274
